rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1426452800887166033,,0,,1426452800,886801778,'',,,0.787132024765,-0.0274755693972,-0.17203335464,,0.0,0.0,0.0,1.0
1426452800935422224,,1,,1426452800,935087445,'',,,0.825223684311,0.0174696277827,-0.0575507134199,,0.0,0.0,0.0,1.0
1426452800984110395,,2,,1426452800,983901892,'',,,0.930199682713,0.0241572093219,0.0261619128287,,0.0,0.0,0.0,1.0
1426452801033712288,,3,,1426452801,32785063,'',,,1.18312132359,0.00328396447003,0.148458808661,,0.0,0.0,0.0,1.0
1426452801078032418,,4,,1426452801,77710513,'',,,1.261485219,0.0785602405667,0.311204582453,,0.0,0.0,0.0,1.0
1426452801125073371,,5,,1426452801,124827317,'',,,1.585059762,-0.0858376100659,0.205441787839,,0.0,0.0,0.0,1.0
1426452801171857705,,6,,1426452801,171638102,'',,,1.50303161144,0.0599383451045,0.343356281519,,0.0,0.0,0.0,1.0
1426452801219067445,,7,,1426452801,218870538,'',,,1.86605572701,-0.0986621901393,0.244122728705,,0.0,0.0,0.0,1.0
1426452801267917826,,8,,1426452801,267708370,'',,,1.69953262806,0.107041381299,0.427631825209,,0.0,0.0,0.0,1.0
1426452801318560462,,9,,1426452801,318275970,'',,,1.91108214855,0.0764874368906,0.35899361968,,0.0,0.0,0.0,1.0
1426452801368982230,,10,,1426452801,368769039,'',,,1.94398367405,0.137039393187,0.3663431108,,0.0,0.0,0.0,1.0
1426452801418344052,,11,,1426452801,418101409,'',,,2.12222909927,0.099804982543,0.247294589877,,0.0,0.0,0.0,1.0
1426452801468383081,,12,,1426452801,467675864,'',,,2.17100000381,0.145201250911,0.21203802526,,0.0,0.0,0.0,1.0
1426452801515496112,,13,,1426452801,514874554,'',,,2.28489089012,0.179262414575,0.0760101377964,,0.0,0.0,0.0,1.0
1426452801562170757,,14,,1426452801,561668397,'',,,2.35992908478,0.176038384438,-0.0182769149542,,0.0,0.0,0.0,1.0
1426452801610978008,,15,,1426452801,610714759,'',,,2.41200971603,0.184805706143,-0.118195414543,,0.0,0.0,0.0,1.0
1426452801657999027,,16,,1426452801,657750315,'',,,2.53099060059,0.168329492211,-0.345726907253,,0.0,0.0,0.0,1.0
1426452801706274716,,17,,1426452801,706029996,'',,,2.57374000549,0.194760575891,-0.465792357922,,0.0,0.0,0.0,1.0
1426452801752810686,,18,,1426452801,752468646,'',,,2.688154459,0.177039057016,-0.735632896423,,0.0,0.0,0.0,1.0
1426452801801939661,,19,,1426452801,801748049,'',,,2.72288560867,0.179120138288,-0.852595865726,,0.0,0.0,0.0,1.0
1426452801944188085,,20,,1426452801,943946227,'',,,2.87063002586,0.207569167018,-1.03869378567,,0.0,0.0,0.0,1.0
1426452801990885810,,21,,1426452801,989418284,'',,,2.86484050751,0.219729453325,-1.02344703674,,0.0,0.0,0.0,1.0
1426452802039840530,,22,,1426452802,38832605,'',,,2.88944959641,0.232860088348,-1.02202689648,,0.0,0.0,0.0,1.0
1426452802086490599,,23,,1426452802,86234925,'',,,2.93806052208,0.228155553341,-1.05335497856,,0.0,0.0,0.0,1.0
1426452802137029432,,24,,1426452802,136751574,'',,,2.93328619003,0.243228107691,-1.07284271717,,0.0,0.0,0.0,1.0
1426452803431763905,,25,,1426452803,431211690,'',,,0.714775085449,-0.0754708573222,-0.175672754645,,0.0,0.0,0.0,1.0
1426452803483169669,,26,,1426452803,482985532,'',,,0.791566073895,-0.0748276412487,-0.0742766931653,,0.0,0.0,0.0,1.0
1426452803537444621,,27,,1426452803,535768568,'',,,1.01018369198,-0.0802059024572,0.107613734901,,0.0,0.0,0.0,1.0
1426452803581993547,,28,,1426452803,581724470,'',,,1.22744870186,-0.0960096344352,0.255234479904,,0.0,0.0,0.0,1.0
1426452803635131221,,29,,1426452803,634946163,'',,,1.34593248367,-0.110939264297,0.307351499796,,0.0,0.0,0.0,1.0
1426452803681903631,,30,,1426452803,681669611,'',,,1.58389425278,-0.177588447928,0.360636353493,,0.0,0.0,0.0,1.0
1426452803734172775,,31,,1426452803,732854969,'',,,1.63754665852,-0.145125150681,0.43370321393,,0.0,0.0,0.0,1.0
1426452803779996425,,32,,1426452803,779356854,'',,,1.71845948696,-0.136439174414,0.469237208366,,0.0,0.0,0.0,1.0
1426452803833421979,,33,,1426452803,831366542,'',,,1.94653522968,-0.178956434131,0.454898506403,,0.0,0.0,0.0,1.0
1426452803878064926,,34,,1426452803,877789340,'',,,2.01038742065,-0.167915821075,0.474489718676,,0.0,0.0,0.0,1.0
1426452803927874596,,35,,1426452803,927463710,'',,,2.46823716164,-0.392825901508,0.145961552858,,0.0,0.0,0.0,1.0
1426452803975895814,,36,,1426452803,975665077,'',,,2.32171845436,-0.227797031403,0.333740592003,,0.0,0.0,0.0,1.0
1426452804025113009,,37,,1426452804,24857580,'',,,2.47161602974,-0.22928930819,0.225999668241,,0.0,0.0,0.0,1.0
1426452804074738895,,38,,1426452804,74431563,'',,,2.54141998291,-0.227386653423,0.159340322018,,0.0,0.0,0.0,1.0
1426452804118829518,,39,,1426452804,118480255,'',,,2.69128060341,-0.247188672423,-0.0227267220616,,0.0,0.0,0.0,1.0
1426452804167888928,,40,,1426452804,167298366,'',,,2.76878499985,-0.27274569869,-0.139182165265,,0.0,0.0,0.0,1.0
1426452804212988966,,41,,1426452804,212756307,'',,,2.92926502228,-0.285899609327,-0.388296425343,,0.0,0.0,0.0,1.0
1426452804259521873,,42,,1426452804,259262048,'',,,2.99087905884,-0.276478141546,-0.495790928602,,0.0,0.0,0.0,1.0
1426452804308796728,,43,,1426452804,308544781,'',,,3.02019095421,-0.286008775234,-0.630815029144,,0.0,0.0,0.0,1.0
1426452804355400124,,44,,1426452804,355129543,'',,,3.14512777328,-0.298596411943,-0.919493019581,,0.0,0.0,0.0,1.0
1426452804404300596,,45,,1426452804,404151028,'',,,3.22836518288,-0.33129671216,-1.04055666924,,0.0,0.0,0.0,1.0
1426452804453471550,,46,,1426452804,453196751,'',,,3.24279665947,-0.281224280596,-1.02803349495,,0.0,0.0,0.0,1.0
1426452804504878893,,47,,1426452804,504713848,'',,,3.22761106491,-0.273703217506,-0.978832006454,,0.0,0.0,0.0,1.0
1426452804558847002,,48,,1426452804,558576967,'',,,3.25697541237,-0.259649246931,-0.945553302765,,0.0,0.0,0.0,1.0
1426452804609243157,,49,,1426452804,609012569,'',,,3.20573306084,-0.248517617583,-0.932210385799,,0.0,0.0,0.0,1.0
1426452804654165556,,50,,1426452804,653954323,'',,,3.20238661766,-0.241748169065,-0.917706251144,,0.0,0.0,0.0,1.0
1426452804704202674,,51,,1426452804,703990464,'',,,3.1868622303,-0.242544293404,-0.915148377419,,0.0,0.0,0.0,1.0
1426452804750571778,,52,,1426452804,750350134,'',,,3.21566033363,-0.229245528579,-0.945874154568,,0.0,0.0,0.0,1.0
1426452804800622114,,53,,1426452804,799654540,'',,,3.20116257668,-0.201338037848,-0.98611342907,,0.0,0.0,0.0,1.0
1426452805533155580,,54,,1426452805,532641274,'',,,0.862350940704,-0.0705181434751,-0.273145586252,,0.0,0.0,0.0,1.0
1426452805582887420,,55,,1426452805,582705308,'',,,0.960586607456,-0.0753097385168,-0.188956230879,,0.0,0.0,0.0,1.0
1426452805636122401,,56,,1426452805,634929200,'',,,1.18171477318,-0.0906868577003,-0.0568577088416,,0.0,0.0,0.0,1.0
1426452805685350714,,57,,1426452805,685126662,'',,,1.35436725616,-0.0922388806939,-0.029628880322,,0.0,0.0,0.0,1.0
1426452805733651498,,58,,1426452805,733121595,'',,,1.50237333775,-0.119867071509,0.080769225955,,0.0,0.0,0.0,1.0
1426452805782580628,,59,,1426452805,782293152,'',,,1.60448873043,-0.130500271916,0.105634607375,,0.0,0.0,0.0,1.0
1426452805827455880,,60,,1426452805,827066530,'',,,1.80690169334,-0.145243555307,0.133298262954,,0.0,0.0,0.0,1.0
1426452805878097694,,61,,1426452805,877909571,'',,,1.92136526108,-0.16264860332,0.118530474603,,0.0,0.0,0.0,1.0
1426452805925455225,,62,,1426452805,925103295,'',,,2.12962317467,-0.199800759554,0.0636116489768,,0.0,0.0,0.0,1.0
1426452805976508384,,63,,1426452805,976273972,'',,,2.20049977303,-0.184606045485,0.042090266943,,0.0,0.0,0.0,1.0
1426452806022962702,,64,,1426452806,22479720,'',,,2.37467885017,-0.19935657084,-0.0665421336889,,0.0,0.0,0.0,1.0
1426452806077266559,,65,,1426452806,77008675,'',,,2.49586176872,-0.222000971437,-0.162154853344,,0.0,0.0,0.0,1.0
1426452806124153018,,66,,1426452806,123924247,'',,,2.63575792313,-0.234777808189,-0.325762838125,,0.0,0.0,0.0,1.0
1426452806176468115,,67,,1426452806,176299427,'',,,2.72324585915,-0.266391843557,-0.413469910622,,0.0,0.0,0.0,1.0
1426452806222890880,,68,,1426452806,222598359,'',,,2.8416364193,-0.2625682652,-0.618723273277,,0.0,0.0,0.0,1.0
1426452806274930240,,69,,1426452806,274730423,'',,,2.90977239609,-0.263380259275,-0.737054228783,,0.0,0.0,0.0,1.0
1426452806323043361,,70,,1426452806,322818520,'',,,3.02354049683,-0.282536149025,-0.99791675806,,0.0,0.0,0.0,1.0
1426452806422937790,,71,,1426452806,422712921,'',,,3.15526366234,-0.297742068768,-1.03960347176,,0.0,0.0,0.0,1.0
1426452806477114011,,72,,1426452806,476886425,'',,,3.11302447319,-0.259808927774,-1.02451479435,,0.0,0.0,0.0,1.0
